head,lr_phase1,wd_phase1,lr_phase2,weight_decay,fold,val_acc,val_loss,val_f1,p1_epochs_run,p2_epochs_run,timestamp,error
mlp,0.001,0.0,0.0001,0.0001,0,0.909434,0.226477,0.88785,20,5,2026-03-13T17:08:42,
mlp,0.001,0.0,0.0001,0.0001,1,0.897727,0.331496,0.882096,20,10,2026-03-13T17:43:57,
mlp,0.001,0.0,0.0001,0.0001,2,0.92803,0.351088,0.899471,20,7,2026-03-13T18:10:50,
mlp,0.001,0.0,0.0001,0.0001,3,0.94697,0.204413,0.928571,13,9,2026-03-13T18:38:20,
mlp,0.001,0.0,0.0001,0.0001,4,0.92803,0.201222,0.915556,19,15,2026-03-13T19:21:37,
linear,0.001,0.0,0.0001,0.0001,0,0.954717,0.167409,0.941176,20,7,2026-03-13T19:49:11,
linear,0.001,0.0,0.0001,0.0001,1,0.943182,0.164045,0.926829,20,6,2026-03-13T20:15:59,
linear,0.001,0.0,0.0001,0.0001,2,0.954545,0.145071,0.942308,20,11,2026-03-13T21:00:33,
linear,0.001,0.0,0.0001,0.0001,3,0.920455,0.343566,0.887701,20,4,2026-03-13T21:29:59,
linear,0.001,0.0,0.0001,0.0001,4,0.912879,0.178095,0.888889,20,6,2026-03-13T21:57:57,
