backbone,target_dim,k,fold,nca_knn_f1,linear_f1,delta_f1,timestamp,error
base,64,3,0,0.917874,0.941176,-0.023302,2026-03-18T02:21:55,
base,64,3,1,0.917874,0.926829,-0.008955,2026-03-18T02:22:44,
base,64,3,2,0.95,0.942308,0.007692,2026-03-18T02:23:33,
base,64,3,3,0.890052,0.887701,0.002351,2026-03-18T02:24:27,
base,64,3,4,0.93,0.888889,0.041111,2026-03-18T02:25:19,
cbam_end,64,3,0,0.936585,0.911628,0.024957,2026-03-18T02:26:11,
cbam_end,64,3,1,0.917874,0.901554,0.01632,2026-03-18T02:27:03,
cbam_end,64,3,2,0.944724,0.956098,-0.011374,2026-03-18T02:27:56,
cbam_end,64,3,3,0.929293,0.917526,0.011767,2026-03-18T02:28:51,
cbam_end,64,3,4,0.951456,0.94,0.011456,2026-03-18T02:29:41,
cbam_block_pre,64,3,0,0.918367,0.790698,0.127669,2026-03-18T02:30:34,
cbam_block_pre,64,3,1,0.926108,0.812749,0.113359,2026-03-18T02:31:30,
cbam_block_pre,64,3,2,0.944724,0.90099,0.043734,2026-03-18T02:32:34,
cbam_block_pre,64,3,3,0.907216,0.9,0.007216,2026-03-18T02:33:23,
cbam_block_pre,64,3,4,0.925234,0.912821,0.012413,2026-03-18T02:34:11,
cbam_block_post,64,3,0,0.94,0.941176,-0.001176,2026-03-18T02:35:10,
cbam_block_post,64,3,1,0.926829,0.892308,0.034521,2026-03-18T02:36:04,
cbam_block_post,64,3,2,0.924623,0.860987,0.063636,2026-03-18T02:37:04,
cbam_block_post,64,3,3,0.912821,0.888889,0.023932,2026-03-18T02:37:55,
cbam_block_post,64,3,4,0.931373,0.911917,0.019456,2026-03-18T02:38:55,
se_end,64,3,0,0.94,0.929293,0.010707,2026-03-18T02:39:42,
se_end,64,3,1,0.933333,0.925234,0.008099,2026-03-18T02:40:29,
se_end,64,3,2,0.960396,0.938776,0.02162,2026-03-18T02:41:14,
se_end,64,3,3,0.910891,0.888889,0.022002,2026-03-18T02:42:01,
se_end,64,3,4,0.92823,0.838174,0.090056,2026-03-18T02:42:46,
se_block_pre,64,3,0,0.898551,0.872727,0.025824,2026-03-18T02:43:37,
se_block_pre,64,3,1,0.913706,0.899471,0.014235,2026-03-18T02:44:21,
se_block_pre,64,3,2,0.956098,0.941176,0.014922,2026-03-18T02:45:04,
se_block_pre,64,3,3,0.895833,0.884211,0.011622,2026-03-18T02:45:48,
se_block_pre,64,3,4,0.946341,0.937198,0.009143,2026-03-18T02:46:32,
cbam_isolated_end,64,3,0,0.902913,0.894009,0.008904,2026-03-18T02:47:15,
cbam_isolated_end,64,3,1,0.917073,0.882629,0.034444,2026-03-18T02:47:59,
cbam_isolated_end,64,3,2,0.956098,0.948357,0.007741,2026-03-18T02:48:43,
cbam_isolated_end,64,3,3,0.905263,0.869565,0.035698,2026-03-18T02:49:26,
cbam_isolated_end,64,3,4,0.943925,0.930876,0.013049,2026-03-18T02:50:10,
cbam_isolated_block_pre,64,3,0,0.915423,0.858447,0.056976,2026-03-18T02:50:57,
cbam_isolated_block_pre,64,3,1,0.902326,0.900901,0.001425,2026-03-18T02:51:42,
cbam_isolated_block_pre,64,3,2,0.95,0.935323,0.014677,2026-03-18T02:52:27,
cbam_isolated_block_pre,64,3,3,0.873786,0.858407,0.015379,2026-03-18T02:53:12,
cbam_isolated_block_pre,64,3,4,0.915423,0.905263,0.01016,2026-03-18T02:53:57,
