backbone,target_dim,k,mean_f1,std_f1
base,64,3,0.9844509232264336,0.0162034324592157
base,128,9,0.9844509232264336,0.0162034324592157
base,128,13,0.9844509232264336,0.0162034324592157
base,256,9,0.9844509232264336,0.0162034324592157
base,64,5,0.984416791332336,0.0180833455814024
base,512,5,0.9835579780566472,0.01520690470997
base,128,29,0.983518656632088,0.0130673988898719
base,256,11,0.983518656632088,0.0174918590894976
base,128,7,0.9834904061292292,0.0158533324516488
base,128,17,0.9834847396515544,0.0153092037577004
base,256,7,0.9834393239334164,0.017601704904621
base,512,7,0.9825354730495488,0.0125491190072957
base,512,9,0.9825354730495488,0.0125491190072957
base,128,5,0.98252422255435,0.014875905833646
base,256,5,0.982518572453778,0.0185999208652214
base,64,11,0.9825129387303094,0.0144843036367777
base,128,21,0.9825129387303094,0.0144843036367777
base,128,23,0.9825129387303094,0.0144843036367777
base,128,25,0.9825129387303094,0.0144843036367777
base,128,11,0.9824731403585372,0.0167238072980178
base,128,15,0.9824731403585372,0.0167238072980178
base,64,19,0.9824217915067158,0.0190130339136421
base,256,13,0.9824217915067158,0.0190130339136421
base,512,3,0.9816256109068888,0.0179109368699773
base,64,9,0.981580672135964,0.0157985925441685
base,512,17,0.9815580056506292,0.0116882488600889
base,64,7,0.9815013394372922,0.0159104656260918
base,64,13,0.9815013394372922,0.0159104656260918
base,64,15,0.9815013394372922,0.0159104656260918
base,128,19,0.9815013394372922,0.0159104656260918
base,128,27,0.9815013394372922,0.0159104656260918
base,256,25,0.9814556079318368,0.0181492404071909
base,256,27,0.9814556079318368,0.0181492404071909
base,512,15,0.9806255261539436,0.0130006670325942
base,512,11,0.9805522877488508,0.01310380005679
base,256,15,0.9805238226197458,0.0194563058721371
base,256,19,0.9805238226197458,0.0194563058721371
base,512,23,0.9805181558547532,0.0153590235450663
base,512,25,0.9805181558547532,0.0153590235450663
base,64,17,0.9804838070105918,0.0173457324825589
base,64,25,0.9804838070105918,0.0173457324825589
base,64,29,0.9804838070105918,0.0173457324825589
base,64,21,0.9804320900202732,0.0195850615106034
base,64,23,0.9804320900202732,0.0195850615106034
base,256,29,0.9804320900202732,0.0195850615106034
base,256,3,0.9796756140879996,0.0179860280652706
base,512,13,0.9796200211545052,0.0144171547691021
base,512,27,0.9795861205510744,0.0166621857735156
base,128,3,0.9795688743039528,0.0189730351868765
base,512,19,0.9795406884558334,0.0145289591585775
base,512,21,0.9795406884558334,0.0145289591585775
base,256,17,0.979500573718738,0.0208932177475234
base,256,21,0.979500573718738,0.0208932177475234
base,64,27,0.9794602890990284,0.0187900194537917
base,256,23,0.979448906437734,0.0190847788891583
base,512,29,0.9786086531521548,0.0158428979822785
base,512,1,0.9768330561286604,0.0142337619584823
base,128,1,0.9757933898547804,0.0131900862174536
base,64,1,0.9749069738302888,0.0134602355904423
base,256,1,0.9701374574041138,0.0167232992989259
