lr_phase1,wd_phase1,lr_phase2,weight_decay,fold,val_acc,val_loss,val_f1,p1_epochs_run,p2_epochs_run,timestamp,error
0.001,0,1e-05,0,0,0.918367,0.208508,0.88535,15,12,2026-03-12T12:46:12,
0.001,0,1e-05,0,1,0.927273,0.198128,0.903614,20,15,2026-03-12T12:53:55,
0.001,0,1e-05,0,2,0.888636,0.22496,0.867209,13,15,2026-03-12T13:00:08,
0.001,0,1e-05,0.0001,0,0.918367,0.208508,0.88535,15,12,2026-03-12T13:06:06,
0.001,0,1e-05,0.0001,1,0.927273,0.198128,0.903614,20,15,2026-03-12T13:13:48,
0.001,0,1e-05,0.0001,2,0.888636,0.22496,0.867209,13,15,2026-03-12T13:20:00,
0.001,0,1e-05,0.001,0,0.918367,0.208508,0.88535,15,12,2026-03-12T13:25:57,
0.001,0,1e-05,0.001,1,0.927273,0.198128,0.903614,20,15,2026-03-12T13:33:38,
0.001,0,1e-05,0.001,2,0.888636,0.22496,0.867209,13,15,2026-03-12T13:39:51,
0.001,0,5e-06,0,0,0.909297,0.214992,0.875,15,15,2026-03-12T13:46:29,
0.001,0,5e-06,0,1,0.920455,0.211329,0.897361,20,15,2026-03-12T13:54:14,
0.001,0,5e-06,0,2,0.893182,0.238318,0.869081,13,15,2026-03-12T14:00:25,
0.001,0,5e-06,0.0001,0,0.909297,0.214992,0.875,15,15,2026-03-12T14:07:04,
0.001,0,5e-06,0.0001,1,0.920455,0.211329,0.897361,20,15,2026-03-12T14:14:48,
0.001,0,5e-06,0.0001,2,0.893182,0.238318,0.869081,13,15,2026-03-12T14:21:02,
0.001,0,5e-06,0.001,0,0.909297,0.214992,0.875,15,15,2026-03-12T14:27:41,
0.001,0,5e-06,0.001,1,0.920455,0.211329,0.897361,20,15,2026-03-12T14:35:23,
0.001,0,5e-06,0.001,2,0.893182,0.238318,0.869081,13,15,2026-03-12T14:41:36,
0.001,0,1e-06,0,0,0.884354,0.277069,0.843077,15,15,2026-03-12T14:48:17,
0.001,0,1e-06,0,1,0.884091,0.279729,0.852174,20,15,2026-03-12T14:56:02,
0.001,0,1e-06,0,2,0.877273,0.295577,0.85,13,15,2026-03-12T15:02:16,
0.001,0,1e-06,0.0001,0,0.884354,0.277069,0.843077,15,15,2026-03-12T15:08:56,
0.001,0,1e-06,0.0001,1,0.884091,0.279729,0.852174,20,15,2026-03-12T15:16:41,
0.001,0,1e-06,0.0001,2,0.877273,0.295577,0.85,13,15,2026-03-12T15:22:54,
0.001,0,1e-06,0.001,0,0.884354,0.277069,0.843077,15,15,2026-03-12T15:29:31,
0.001,0,1e-06,0.001,1,0.884091,0.279729,0.852174,20,15,2026-03-12T15:37:16,
0.001,0,1e-06,0.001,2,0.877273,0.295577,0.85,13,15,2026-03-12T15:43:32,
